number,value,datetime_start,datetime_complete,duration,params_C,params_max_iter,params_solver,state
0,0.86,2023-09-21 21:00:14.319994,2023-09-21 21:00:14.335639,0 days 00:00:00.015645,0.0006160681608042969,300,lbfgs,COMPLETE
1,0.86,2023-09-21 21:00:14.335639,2023-09-21 21:00:14.351271,0 days 00:00:00.015632,0.5347035412130431,300,lbfgs,COMPLETE
2,0.86,2023-09-21 21:00:14.351271,2023-09-21 21:00:14.351271,0 days 00:00:00,0.0033847980415353976,300,lbfgs,COMPLETE
3,0.86,2023-09-21 21:00:14.351271,2023-09-21 21:00:14.366885,0 days 00:00:00.015614,0.028743251891635544,100,liblinear,COMPLETE
4,0.835,2023-09-21 21:00:14.366885,2023-09-21 21:00:14.382518,0 days 00:00:00.015633,8.33813402142654,100,newton-cg,COMPLETE
5,0.815,2023-09-21 21:00:14.382518,2023-09-21 21:00:14.523947,0 days 00:00:00.141429,1961.9302258978435,500,saga,COMPLETE
6,0.86,2023-09-21 21:00:14.523947,2023-09-21 21:00:14.539588,0 days 00:00:00.015641,0.005994994711484496,300,sag,COMPLETE
7,0.86,2023-09-21 21:00:14.539588,2023-09-21 21:00:14.539588,0 days 00:00:00,0.5470098431291827,400,sag,COMPLETE
8,0.835,2023-09-21 21:00:14.539588,2023-09-21 21:00:14.570838,0 days 00:00:00.031250,17.179557571283397,500,lbfgs,COMPLETE
9,0.86,2023-09-21 21:00:14.570838,2023-09-21 21:00:14.586463,0 days 00:00:00.015625,0.3020180716906952,100,lbfgs,COMPLETE
10,0.86,2023-09-21 21:00:14.586463,2023-09-21 21:00:14.618117,0 days 00:00:00.031654,1.1972780207478313e-05,200,newton-cg,COMPLETE
11,0.86,2023-09-21 21:00:14.618117,2023-09-21 21:00:14.633762,0 days 00:00:00.015645,0.00026114437963675383,400,lbfgs,COMPLETE
12,0.86,2023-09-21 21:00:14.633762,2023-09-21 21:00:14.665012,0 days 00:00:00.031250,0.00010052185833533713,200,lbfgs,COMPLETE
13,0.86,2023-09-21 21:00:14.665012,2023-09-21 21:00:14.727919,0 days 00:00:00.062907,0.06147305358877929,400,saga,COMPLETE
14,0.86,2023-09-21 21:00:14.727919,2023-09-21 21:00:14.743551,0 days 00:00:00.015632,0.001116384724797323,200,liblinear,COMPLETE
15,0.86,2023-09-21 21:00:14.743551,2023-09-21 21:00:14.759175,0 days 00:00:00.015624,1.071647173246521e-05,300,lbfgs,COMPLETE
16,0.86,2023-09-21 21:00:14.759175,2023-09-21 21:00:14.806046,0 days 00:00:00.046871,5.976318248884593,400,lbfgs,COMPLETE
17,0.835,2023-09-21 21:00:14.806046,2023-09-21 21:00:14.853340,0 days 00:00:00.047294,89362.69071021721,200,lbfgs,COMPLETE
18,0.86,2023-09-21 21:00:14.853340,2023-09-21 21:00:14.931876,0 days 00:00:00.078536,0.044872633388601584,300,saga,COMPLETE
19,0.86,2023-09-21 21:00:14.931876,2023-09-21 21:00:14.963127,0 days 00:00:00.031251,0.0017465296606912627,400,sag,COMPLETE
20,0.86,2023-09-21 21:00:14.963127,2023-09-21 21:00:14.978754,0 days 00:00:00.015627,0.0001703846428558366,300,liblinear,COMPLETE
21,0.86,2023-09-21 21:00:14.978754,2023-09-21 21:00:15.012026,0 days 00:00:00.033272,0.005091438216799817,300,lbfgs,COMPLETE
22,0.86,2023-09-21 21:00:15.012026,2023-09-21 21:00:15.026045,0 days 00:00:00.014019,0.011055992483163725,200,lbfgs,COMPLETE
23,0.86,2023-09-21 21:00:15.026045,2023-09-21 21:00:15.041691,0 days 00:00:00.015646,0.0009959503093438593,300,lbfgs,COMPLETE
24,0.86,2023-09-21 21:00:15.057318,2023-09-21 21:00:15.072945,0 days 00:00:00.015627,0.1446734422816989,300,newton-cg,COMPLETE
25,0.86,2023-09-21 21:00:15.072945,2023-09-21 21:00:15.104195,0 days 00:00:00.031250,0.00901704944911629,400,lbfgs,COMPLETE
26,0.86,2023-09-21 21:00:15.104195,2023-09-21 21:00:15.120226,0 days 00:00:00.016031,0.9078259490421676,200,lbfgs,COMPLETE
27,0.86,2023-09-21 21:00:15.120226,2023-09-21 21:00:15.151499,0 days 00:00:00.031273,0.12722244147536377,300,lbfgs,COMPLETE
28,0.86,2023-09-21 21:00:15.151499,2023-09-21 21:00:15.167124,0 days 00:00:00.015625,4.7128123951074814e-05,400,lbfgs,COMPLETE
29,0.86,2023-09-21 21:00:15.167124,2023-09-21 21:00:15.182740,0 days 00:00:00.015616,0.016054516910109205,300,liblinear,COMPLETE
30,0.86,2023-09-21 21:00:15.182740,2023-09-21 21:00:15.245659,0 days 00:00:00.062919,0.0004191037404658852,200,sag,COMPLETE
31,0.86,2023-09-21 21:00:15.245659,2023-09-21 21:00:15.261292,0 days 00:00:00.015633,0.027526642591031113,100,liblinear,COMPLETE
32,0.86,2023-09-21 21:00:15.261292,2023-09-21 21:00:15.276919,0 days 00:00:00.015627,0.002785708343084711,100,liblinear,COMPLETE
33,0.86,2023-09-21 21:00:15.276919,2023-09-21 21:00:15.312681,0 days 00:00:00.035762,3.2913424567830125,100,newton-cg,COMPLETE
34,0.86,2023-09-21 21:00:15.312681,2023-09-21 21:00:15.324194,0 days 00:00:00.011513,0.0032078902338651865,500,liblinear,COMPLETE
35,0.86,2023-09-21 21:00:15.324194,2023-09-21 21:00:15.402333,0 days 00:00:00.078139,0.029722086029105352,500,saga,COMPLETE
36,0.86,2023-09-21 21:00:15.402333,2023-09-21 21:00:15.418360,0 days 00:00:00.016027,0.24607792872036946,200,liblinear,COMPLETE
37,0.86,2023-09-21 21:00:15.418360,2023-09-21 21:00:15.451155,0 days 00:00:00.032795,0.9396595474130495,100,sag,COMPLETE
38,0.83,2023-09-21 21:00:15.451155,2023-09-21 21:00:15.482412,0 days 00:00:00.031257,53.58451615595143,300,newton-cg,COMPLETE
39,0.86,2023-09-21 21:00:15.482412,2023-09-21 21:00:15.514068,0 days 00:00:00.031656,0.0008754531180223453,300,lbfgs,COMPLETE
40,0.86,2023-09-21 21:00:15.514068,2023-09-21 21:00:15.613345,0 days 00:00:00.099277,0.0056311292385420935,400,saga,COMPLETE
41,0.86,2023-09-21 21:00:15.613345,2023-09-21 21:00:15.623864,0 days 00:00:00.010519,0.07504520018757607,300,sag,COMPLETE
42,0.86,2023-09-21 21:00:15.623864,2023-09-21 21:00:15.670766,0 days 00:00:00.046902,0.0005114885064345864,200,sag,COMPLETE
